name,manufacturer,type,image,checklist category,phase,item,expectedState,notes
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,Standby generator,Use if available,
C208B Sample,Unknown,GA,,Abnormal Checklist,Generator Failure,If generator output resumes,Monitor voltage,
C208B Sample,Unknown,GA,,Abnormal Checklist,Inverter Failure,Inverter switch,Select other inverter,
C208B Sample,Unknown,GA,,Abnormal Checklist,Inverter Failure,Failed inverter,Repair before next flight,
C208B Sample,Unknown,GA,,Abnormal Checklist,Inverter Failure,Circuit breakers,Check in,
C208B Sample,Unknown,GA,,Abnormal Checklist,Inverter Failure,Gyro flags,Check,
C208B Sample,Unknown,GA,,Abnormal Checklist,Starter Does Not Disengage,Battery,Off,
C208B Sample,Unknown,GA,,Abnormal Checklist,Starter Does Not Disengage,Auxiliary power unit,Off then disengage,
C208B Sample,Unknown,GA,,Abnormal Checklist,Starter Does Not Disengage,Fuel condition lever,Cutoff,
C208B Sample,Unknown,GA,,Abnormal Checklist,Starter Does Not Disengage,Engine shutdown,Complete,
C208B Sample,Unknown,GA,,Abnormal Checklist,Upper Half Of Cargo/Airstair Door Open,Airspeed,Less than 100 KIAS,
C208B Sample,Unknown,GA,,Abnormal Checklist,Upper Half Of Cargo/Airstair Door Open,Wing flaps,Full (to provide downwash),
C208B Sample,Unknown,GA,,Abnormal Checklist,Upper Half Of Cargo/Airstair Door Open,Door,Close if helper available,
C208B Sample,Unknown,GA,,Abnormal Checklist,Upper Half Of Cargo/Airstair Door Open,Land,Normal approach and landing,
C208B Sample,Unknown,GA,,Abnormal Checklist,Lower Half Of Airstair Door Open,Airspeed,Less than 100 KIAS,
C208B Sample,Unknown,GA,,Abnormal Checklist,Lower Half Of Airstair Door Open,Wing flaps,Full,
C208B Sample,Unknown,GA,,Abnormal Checklist,Lower Half Of Airstair Door Open,Land,"Slightly tail low, avoid nose high flare",
C208B Sample,Unknown,GA,,Abnormal Checklist,Crew Door Open,Airspeed,Less than 100 KIAS,
C208B Sample,Unknown,GA,,Abnormal Checklist,Crew Door Open,Door,Pull closed and latch,
C208B Sample,Unknown,GA,,Abnormal Checklist,Cargo Pod Door(S) Open,Airspeed,Less than 100 KIAS,
C208B Sample,Unknown,GA,,Abnormal Checklist,Cargo Pod Door(S) Open,Approach,Normal,
C208B Sample,Unknown,GA,,Abnormal Checklist,Cargo Pod Door(S) Open,Landing,Avoid nose-high flare,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,"Seats, belts, harnesses",Secure,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Airspeed,"100 KIAS (flaps up), 80 KIAS (full flap)",
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Power lever,Idle,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Propeller,Feather,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Fuel condition lever,Cutoff,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Fuel Boost,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Ignition,Normal,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Standby power,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Nonessential equipment,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Fuel shutoff,Off (pull out),
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Fuel tank selectors,Off (warning horn),
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Wing flaps,As required (full recommended),
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Crew doors,Unlatch before touchdown,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Battery,Off when landing is assured,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Touchdown,Slightly tail low,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Landing Without Power,Brakes,Apply heavily,
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,"Seats, belts, harnesses",Secure,
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,Flaps,10°,
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,Airspeed,90 KIAS,
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,Field,"Select, fly over, check terrain and obstacles",
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,Switches,All off except Generator and Battery,
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,Flaps,Full down,
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,Airspeed,80 KIAS,
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,Crew doors,Unlatch before touchdown,
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,Generator,Trip and release,
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,Battery,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,Touchdown,Slightly tail low,
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,Fuel condition lever,Cutoff,
C208B Sample,Unknown,GA,,Emergency Checklist,Precautionary Landing,Brakes,Apply heavily,
C208B Sample,Unknown,GA,,Emergency Checklist,Ditching,Radio,"Mayday on 121,5 MHz, squawk 7700",
C208B Sample,Unknown,GA,,Emergency Checklist,Ditching,Heavy objects,Secure if passenger available,
C208B Sample,Unknown,GA,,Emergency Checklist,Ditching,"Seats, belts, harnesses",Secure,
C208B Sample,Unknown,GA,,Emergency Checklist,Ditching,Flaps,Down,
C208B Sample,Unknown,GA,,Emergency Checklist,Ditching,Power,300 fpm descent at 80 KIAS,
C208B Sample,Unknown,GA,,Emergency Checklist,Ditching,Approach,Into heavy wind or parallel to swells,
C208B Sample,Unknown,GA,,Emergency Checklist,Ditching,Face,Cushion using padding,
C208B Sample,Unknown,GA,,Emergency Checklist,Ditching,Touchdown,No flare,
C208B Sample,Unknown,GA,,Emergency Checklist,Ditching,Life vests and rafts,Inflate outside cabin,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire In Flight,Power lever,Idle,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire In Flight,Propeller,Feather,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire In Flight,Fuel condition lever,Cutoff,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire In Flight,Fuel shutoff,Off (pull out),
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire In Flight,Cabin heat firewall shutoff,Pull off,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire In Flight,Forward side vents,Close,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire In Flight,Overhead vents,Open,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire In Flight,Ventilation fans,On,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire In Flight,Wing flaps,20 to 30°,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire In Flight,Airspeed,80-85 KIAS,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire In Flight,Forced landing,Execute,
C208B Sample,Unknown,GA,,Emergency Checklist,Battery Overheated (Red),Battery,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Battery Overheated (Red),Generator,Trip and release,
C208B Sample,Unknown,GA,,Emergency Checklist,Battery Overheated (Red),Standby power,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Battery Overheated (Red),All electrical switches,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Battery Overheated (Red),Bus 1 Pwr/Bus 2 Pwr CBs,Pull off (6 breakers),
C208B Sample,Unknown,GA,,Emergency Checklist,Battery Overheated (Red),Avionics switches,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Battery Overheated (Red),Standby power,On,
C208B Sample,Unknown,GA,,Emergency Checklist,Battery Overheated (Red),Avionics standby power,"Lift guard, on",
C208B Sample,Unknown,GA,,Emergency Checklist,Battery Overheated (Red),Avionics bus tie,"Lift guard, on",
C208B Sample,Unknown,GA,,Emergency Checklist,Battery Overheated (Red),Reinstate essential circuits,Monitor load,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Battery,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Generator,Trip and release,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Standby power,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Vents,Close to avoid drafts,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Bleed air heat,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Fire extinguisher,Activate,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Oxygen,Use until smoke clears,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Avionics power,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,All other switches,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Battery switch,On,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Standby power,On,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Generator,Reset and release,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Circuit breakers,"Check, do not reset",
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Inverter,1 or 2 if required,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Radio switches,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Avionics power switches,On,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Radio and electrical switches,On one at a time; delay,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Vents,Open when fire completely extinguished,
C208B Sample,Unknown,GA,,Emergency Checklist,Electrical Fire In Flight,Bleed air heat,On as desired,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire,Battery,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire,Generator,Trip and release,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire,Standby power,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire,Vents,Close to avoid drafts,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire,Bleed air heat,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire,Fire extinguisher,Activate,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire,Oxygen,Use until smoke clears,
C208B Sample,Unknown,GA,,Emergency Checklist,Wing Fire,"Pitot/static heat, Stall heat",Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Wing Fire,Strobe lights,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Wing Fire,Navigation lights,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Wing Fire,Landing and taxi lights,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Wing Fire,Radar,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Wing Fire,Ventilation fans,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire On Ground,Power lever,Idle,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire On Ground,Brakes,As required,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire On Ground,Propeller,Feather,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire On Ground,Fuel condition lever,Cutoff,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire On Ground,Battery,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Cabin Fire On Ground,Fire,Extinguish,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire During Start On Ground,Fuel condition lever,Cutoff,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire During Start On Ground,Fuel boost,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire During Start On Ground,Starter switch,Motor (within starter limits),
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire During Start On Ground,Fuel shutoff,Off (pull out) if fire persists,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire During Start On Ground,Starter,Off if fire ceases,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire During Start On Ground,Battery,Off,
C208B Sample,Unknown,GA,,Emergency Checklist,Engine Fire During Start On Ground,Fire,Extinguish,
C208B Sample,Unknown,GA,,Emergency Checklist,Fcu Pneumatic/Governor Malfunction,Power lever,Idle,
C208B Sample,Unknown,GA,,Emergency Checklist,Fcu Pneumatic/Governor Malfunction,Emergency power lever,As required (N > 65%),
C208B Sample,Unknown,GA,,Emergency Checklist,Loss Of Fuel Pressure,Fuel boost pump,On,
C208B Sample,Unknown,GA,,Emergency Checklist,Fuel Reservoir Low,Fuel tank selectors,"L on, R on",
C208B Sample,Unknown,GA,,Emergency Checklist,Fuel Reservoir Low,Ignition,On,
C208B Sample,Unknown,GA,,Emergency Checklist,Fuel Reservoir Low,Fuel boost,On,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Descent: Rough Air,"Seats, belts, harnesses",Secure,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Descent: Rough Air,Power lever,Idle,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Descent: Rough Air,Propeller,Full forward,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Descent: Rough Air,Wing flaps,Up,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Descent: Rough Air,Airspeed,V (148 to 112 KIAS),
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Descent: Smooth Air,"Seats, belts, harnesses",Secure,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Descent: Smooth Air,Power lever,Idle,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Descent: Smooth Air,Propeller,Full forward,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Descent: Smooth Air,Wing flaps,10°,
C208B Sample,Unknown,GA,,Emergency Checklist,Emergency Descent: Smooth Air,Airspeed,V (175 KIAS),
C208B Sample,Unknown,GA,,Reference Tables,Reference Tables,Table 1 — Page 1,,"data:table/json,[[""V\nMO"",""175"",""""],[""V\nX"",""72"",""SL to 20 000’""],[""V\nY"",""104"",""SL to 10 000’""],["""",""104-87"",""10 000’ to 20 000’""],[""V\nR"",""70-75"",""20° flap""],[""V\nREF"",""75-85"",""30° flap""],["""",""100-115"",""No flap""],[""V\nFE"",""125"",""30° flap""],["""",""150"",""20° flap""],["""",""175"",""10° flap""],[""Other"","""",""""],["""",""80"",""Balked landing (20°)""],["""",""97-71"",""Glide (8750-5000 lb)""],["""",""148"",""Turbulent air: 8750 lb""],["""",""112"",""Turbulent air: 5000 lb""],[""Cruise climb"","""",""""],["""",""110-120"",""""]]"
C208B Sample,Unknown,GA,,Reference Tables,Reference Tables,Table 2 — Page 1,,"data:table/json,[[""Weight (lbs)"",""Take-off speeds (KIAS)"",""""],["""",""Rotate"",""At 50’""],[""8750"",""70"",""83""],[""8300"",""67"",""80""],[""7800"",""64"",""76""],[""7300"",""61"",""73""]]"
C208B Sample,Unknown,GA,,Reference Tables,Reference Tables,Table 3 — Page 1,,"data:table/json,[[""Weight (lbs)"",""Landing"",""V\nA"",""Glide""],["""",""KIAS"",""KIAS"",""KIAS""],[""8500"",""78"",""148"",""95/97""],[""8000"",""75"",""137"",""87/90""],[""7500"",""73"",""125"",""79/82""],[""7000"",""71"",""112"",""71/74""]]"
C208B Sample,Unknown,GA,,Reference Tables,Reference Tables,Table 4 — Page 5,,"data:table/json,[[""Pressure Alt\n[feet]"",""Temperature [°C]"",""""],["""",""Max. Op."",""Tq Limit""],[""Sea Level"",""50"",""42""],[""2000"",""46"",""36""],[""4000"",""42"",""30""],[""6000"",""38"",""21""],[""8000"",""34"",""8""],[""10 000"",""30"",""-5""],[""12 000"",""26"",""-21""]]"
