name,manufacturer,type,image,checklist category,phase,item,expectedState,notes
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),"Elevator, aileron, rudder trim",Set for takeoff,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Power check,400 ft-lb,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Suction,Check,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Volt/amps,"Check, return to BATT",
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Inertial separator,Check (torque drop/return),
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Engine instruments,Check,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Overspeed governor,Check 1750 ±60 rpm,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Power lever,Idle,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Quadrant friction,Adjust,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Standby power,Check,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Autopilot,Preflight check,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Avionics power 1,Check on,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Gyros,Allow 3-4 minutes to stabilise,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Preflight test,"Annun., Alt Select, AP 12x",
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),TRIM warning,"Off (if not, pull AP breaker)",
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Electric trim,"Test (L, R, both, clutch, Disc.)",
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),"Flight director, Autopilot",Engage,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Yaw damper,Engage,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Flight controls,Move to overpower AP,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Disconnect,Press to test,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Trim,Set for takeoff,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Pitot/static heat,On if OAT < 4°C,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Ice protection,As required,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Avionics and radar,"Check, set",
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),GPS/Nav switch,Set,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Strobe,As required,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Annunciators,Extinguished or considered,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Wing flaps,20°,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Cabin heat mixing,Flt-Push,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Windows,Close,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Brakes,Release,
C208B Sample,Unknown,GA,,Normal Checklist,Before Takeoff (Runup),Fuel condition lever,High idle,
C208B Sample,Unknown,GA,,Normal Checklist,Normal Takeoff,Flaps,20°,
C208B Sample,Unknown,GA,,Normal Checklist,Normal Takeoff,Power,Set for takeoff (See below),
C208B Sample,Unknown,GA,,Normal Checklist,Normal Takeoff,Annunciators,Check,
C208B Sample,Unknown,GA,,Normal Checklist,Normal Takeoff,Brakes,Release,
C208B Sample,Unknown,GA,,Normal Checklist,Normal Takeoff,Rotate,70-75 KIAS,
C208B Sample,Unknown,GA,,Normal Checklist,Normal Takeoff,Climb,85-95 KIAS,
C208B Sample,Unknown,GA,,Normal Checklist,Normal Takeoff,Flaps,"Retract to 10° after 85, up after 95 KIAS",
C208B Sample,Unknown,GA,,Normal Checklist,Short Takeoff,Flaps,20°,
C208B Sample,Unknown,GA,,Normal Checklist,Short Takeoff,Power,Set for takeoff (See below),
C208B Sample,Unknown,GA,,Normal Checklist,Short Takeoff,Annunciators,Check,
C208B Sample,Unknown,GA,,Normal Checklist,Short Takeoff,Brakes,Release,
C208B Sample,Unknown,GA,,Normal Checklist,Short Takeoff,Rotate,70 KIAS (see table p. 1),
C208B Sample,Unknown,GA,,Normal Checklist,Short Takeoff,Climb,83 KIAS until obstacles cleared (p. 1),
C208B Sample,Unknown,GA,,Normal Checklist,Short Takeoff,Flaps,"Retract to 10° after 85, up after 95 KIAS",
C208B Sample,Unknown,GA,,Normal Checklist,Enroute Climb (Cruise Climb),Ice protection,As required,
C208B Sample,Unknown,GA,,Normal Checklist,Enroute Climb (Cruise Climb),Pitot/static heat,On if OAT < 4°C,
C208B Sample,Unknown,GA,,Normal Checklist,Enroute Climb (Cruise Climb),Airspeed,110-120 KIAS,
C208B Sample,Unknown,GA,,Normal Checklist,Enroute Climb (Cruise Climb),Propeller,1600-1900 rpm,
C208B Sample,Unknown,GA,,Normal Checklist,Enroute Climb (Cruise Climb),Torque,"Set within limits (ITT, Ng, torque)",
C208B Sample,Unknown,GA,,Normal Checklist,Enroute Climb (Maximum Performance),Ice protection,As required,
C208B Sample,Unknown,GA,,Normal Checklist,Enroute Climb (Maximum Performance),Pitot/static heat,On if OAT < 4°C,
C208B Sample,Unknown,GA,,Normal Checklist,Enroute Climb (Maximum Performance),Airspeed,"104 KIAS (to 10 000’), 87 KIAS (20 000’)",
C208B Sample,Unknown,GA,,Normal Checklist,Enroute Climb (Maximum Performance),Propeller,1900 rpm,
C208B Sample,Unknown,GA,,Normal Checklist,Enroute Climb (Maximum Performance),Torque,"1865 ft-lb (ITT, Ng, torque)",
C208B Sample,Unknown,GA,,Normal Checklist,Cruise,Ice protection,As required,
C208B Sample,Unknown,GA,,Normal Checklist,Cruise,Pitot/static heat,On if OAT < 4°C,
C208B Sample,Unknown,GA,,Normal Checklist,Cruise,Propeller,1600-1900 rpm,
C208B Sample,Unknown,GA,,Normal Checklist,Cruise,Power,Set per cruise power tables,
C208B Sample,Unknown,GA,,Normal Checklist,Descent,Ice protection,As required,
